onset	duration	trial_type	value	sample	stimulus
12.383	225.6	onset	162	12383	1
236.991	0.0	offset	167	236991	n/a
312.178	321.3	onset	162	312178	2
632.48	0.0	offset	167	632480	n/a
682.642	214.4	onset	162	682642	3
896.04	0.0	offset	167	896040	n/a
954.811	211.1	onset	162	954811	4
1164.915	0.0	offset	167	1164915	n/a
1240.253	236.4	onset	162	1240253	5
1475.65	0.0	offset	167	1475650	n/a
1518.674	271.0	onset	162	1518674	6
1788.675	0.0	offset	167	1788675	n/a
1885.861	232.7	onset	162	1885861	7
2117.564	0.0	offset	167	2117564	n/a
2166.505	251.1	onset	162	2166505	8
2416.613	0.0	offset	167	2416613	n/a
2465.872	332.4	onset	162	2465872	9
2797.275	0.0	offset	167	2797275	n/a
2881.088	233.0	onset	162	2881088	10
3113.091	0.0	offset	167	3113091	n/a
3178.549	285.9	onset	162	3178549	11
3463.445	0.0	offset	167	3463445	n/a
