onset	duration	trial_type	value	sample	stimulus
13.166	225.6	onset	162	13166	1
237.773	0.0	offset	167	237773	n/a
294.345	321.3	onset	162	294345	2
614.64	0.0	offset	167	614640	n/a
682.412	214.4	onset	162	682412	3
895.819	0.0	offset	167	895819	n/a
986.493	211.1	onset	162	986493	4
1196.59	0.0	offset	167	1196590	n/a
1373.561	236.4	onset	162	1373561	5
1608.968	0.0	offset	167	1608968	n/a
1657.883	271.0	onset	162	1657883	6
1927.877	0.0	offset	167	1927877	n/a
1983.779	232.7	onset	162	1983779	7
2215.475	0.0	offset	167	2215475	n/a
2288.613	251.1	onset	162	2288613	8
2538.714	0.0	offset	167	2538714	n/a
2592.227	332.4	onset	162	2592227	9
2923.622	0.0	offset	167	2923622	n/a
2992.58	233.0	onset	162	2992580	10
3224.594	0.0	offset	167	3224594	n/a
3291.714	285.9	onset	162	3291714	11
3576.619	0.0	offset	167	3576619	n/a
