onset	duration	trial_type	value	sample	stimulus
24.758	225.6	onset	162	24758	1
249.366	0.0	offset	167	249366	n/a
359.048	321.3	onset	162	359048	2
679.359	0.0	offset	167	679359	n/a
725.666	214.4	onset	162	725666	3
939.074	0.0	offset	167	939074	n/a
983.391	211.1	onset	162	983391	4
1193.506	0.0	offset	167	1193506	n/a
1246.499	236.4	onset	162	1246499	5
1481.906	0.0	offset	167	1481906	n/a
1529.584	271.0	onset	162	1529584	6
1799.595	0.0	offset	167	1799595	n/a
1877.631	232.7	onset	162	1877631	7
2109.327	0.0	offset	167	2109327	n/a
2162.989	251.1	onset	162	2162989	8
2413.09	0.0	offset	167	2413090	n/a
2450.889	332.4	onset	162	2450889	9
2782.284	0.0	offset	167	2782284	n/a
2838.354	233.0	onset	162	2838354	10
3070.367	0.0	offset	167	3070367	n/a
3119.934	285.9	onset	162	3119934	11
3404.839	0.0	offset	167	3404839	n/a
