onset	duration	trial_type	value	sample	stimulus
8.639	225.6	onset	162	8639	1
233.236	0.0	offset	167	233236	n/a
283.365	321.3	onset	162	283365	2
603.667	0.0	offset	167	603667	n/a
654.364	214.4	onset	162	654364	3
867.762	0.0	offset	167	867762	n/a
907.793	211.1	onset	162	907793	4
1117.897	0.0	offset	167	1117897	n/a
1176.869	236.4	onset	162	1176869	5
1412.266	0.0	offset	167	1412266	n/a
1457.998	271.0	onset	162	1457998	6
1727.999	0.0	offset	167	1727999	n/a
1787.757	232.7	onset	162	1787757	7
2019.459	0.0	offset	167	2019459	n/a
2069.721	251.1	onset	162	2069721	8
2319.829	0.0	offset	167	2319829	n/a
2367.35	332.4	onset	162	2367350	9
2698.752	0.0	offset	167	2698752	n/a
2778.754	233.0	onset	162	2778754	10
3010.757	0.0	offset	167	3010757	n/a
3088.168	285.9	onset	162	3088168	11
3373.064	0.0	offset	167	3373064	n/a
