onset	duration	trial_type	value	sample	stimulus
11.778	225.6	onset	162	11778	1
236.385	0.0	offset	167	236385	n/a
303.372	321.3	onset	162	303372	2
623.683	0.0	offset	167	623683	n/a
661.431	214.4	onset	162	661431	3
874.839	0.0	offset	167	874839	n/a
915.913	211.1	onset	162	915913	4
1126.027	0.0	offset	167	1126027	n/a
1171.281	236.4	onset	162	1171281	5
1406.688	0.0	offset	167	1406688	n/a
1693.519	271.0	onset	162	1693519	6
1964.783	0.0	offset	167	1964783	n/a
2023.394	232.7	onset	162	2023394	7
2256.36	0.0	offset	167	2256360	n/a
2306.295	251.1	onset	162	2306295	8
2556.396	0.0	offset	167	2556396	n/a
2599.945	332.4	onset	162	2599945	9
2931.34	0.0	offset	167	2931340	n/a
2994.832	233.0	onset	162	2994832	10
3226.845	0.0	offset	167	3226845	n/a
3275.276	285.9	onset	162	3275276	11
3560.181	0.0	offset	167	3560181	n/a
