onset	duration	trial_type	value	sample	stimulus
3.374	225.6	onset	162	3374	1
227.97	0.0	offset	167	227970	n/a
294.565	321.3	onset	162	294565	2
614.867	0.0	offset	167	614867	n/a
658.142	214.4	onset	162	658142	3
871.539	0.0	offset	167	871539	n/a
971.016	211.1	onset	162	971016	4
1181.12	0.0	offset	167	1181120	n/a
1251.744	236.4	onset	162	1251744	5
1487.141	0.0	offset	167	1487141	n/a
1522.007	271.0	onset	162	1522007	6
1792.008	0.0	offset	167	1792008	n/a
1861.846	232.7	onset	162	1861846	7
2093.548	0.0	offset	167	2093548	n/a
2150.514	251.1	onset	162	2150514	8
2400.622	0.0	offset	167	2400622	n/a
2441.138	332.4	onset	162	2441138	9
2772.541	0.0	offset	167	2772541	n/a
2894.836	233.0	onset	162	2894836	10
3126.84	0.0	offset	167	3126840	n/a
3191.83	285.9	onset	162	3191830	11
3476.725	0.0	offset	167	3476725	n/a
