onset	duration	trial_type	value	sample	stimulus
4.048	225.6	onset	162	4048	1
228.643	0.0	offset	167	228643	0
302.978	321.3	onset	162	302978	2
623.28	0.0	offset	167	623280	0
658.247	214.4	onset	162	658247	3
871.644	0.0	offset	167	871644	0
915.136	211.1	onset	162	915136	4
1125.24	0.0	offset	167	1125240	0
1185.716	236.4	onset	162	1185716	5
1421.113	0.0	offset	167	142111	0
1641.303	232.7	onset	162	1641303	7
1911.304	0.0	offset	167	1911304	0
1968.453	251.1	onset	162	1968453	8
2200.156	0.0	offset	167	2200156	0
2242.344	332.4	onset	162	2242344	9
2492.452	0.0	offset	167	2492452	0
2532.517	233.0	onset	162	2532517	10
2863.919	0.0	offset	167	2863919	0
2996.663	285.9	onset	162	2996663	11
3228.666	0.0	offset	167	3228666	0
3259.369	206.5	onset	162	3259369	n/a
3544.265	0.0	offset	167	3544265	0
