onset	duration	trial_type	value	sample	stimulus
10.41	225.6	onset	162	10410	1
235.018	0.0	offset	167	235018	n/a
288.43	321.3	onset	162	288430	2
608.726	0.0	offset	167	608726	n/a
657.222	214.4	onset	162	657222	3
870.63	0.0	offset	167	870630	n/a
919.728	211.1	onset	162	919728	4
1129.843	0.0	offset	167	1129843	n/a
1207.945	236.4	onset	162	1207945	5
1443.352	0.0	offset	167	1443352	n/a
1523.728	271.0	onset	162	1523728	6
1794.993	0.0	offset	167	1794993	n/a
1863.049	232.7	onset	162	1863049	7
2096.015	0.0	offset	167	2096015	n/a
2181.423	251.1	onset	162	2181423	8
2431.525	0.0	offset	167	2431525	n/a
2492.342	332.4	onset	162	2492342	9
2823.754	0.0	offset	167	2823754	n/a
2936.377	233.0	onset	162	2936377	10
3168.391	0.0	offset	167	3168391	n/a
3230.528	285.9	onset	162	3230528	11
3436.029	0.0	offset	167	3436029	n/a
