onset	duration	trial_type	value	sample	stimulus
12.443	225.6	onset	162	12443	1
237.05	0.0	offset	167	237050	n/a
339.861	321.3	onset	162	339861	2
660.156	0.0	offset	167	660156	n/a
709.104	214.4	onset	162	709104	3
922.512	0.0	offset	167	922512	n/a
973.567	211.1	onset	162	973567	4
1183.681	0.0	offset	167	1183681	n/a
1250.968	236.4	onset	162	1250968	5
1486.375	0.0	offset	167	1486375	n/a
1529.74	271.0	onset	162	1529740	6
1799.751	0.0	offset	167	1799751	n/a
1878.739	232.7	onset	162	1878739	7
2110.452	0.0	offset	167	2110452	n/a
2174.061	251.1	onset	162	2174061	8
2424.162	0.0	offset	167	2424162	n/a
2477.457	332.4	onset	162	2477457	9
2808.869	0.0	offset	167	2808869	n/a
2887.858	233.0	onset	162	2887858	10
3119.871	0.0	offset	167	3119871	n/a
3188.345	285.9	onset	162	3188345	11
3473.251	0.0	offset	167	3473251	n/a
